 ,OBJECTID,Verified_B,Latitude,Longitude,CLASS_OB_1,ACRES_1,SITENAME_1,COUNTY,DESIG,REGION,TRAIL,NATURALAREA,HUNTING,FISHING,PICNIC,WATERREC,Playgrounds,Sports Facilities,ADA Compliant,Waste Receptacles,Restroom Facilities,No Fee/Reservation Required,TOT SCORE,COMMENTS
yes,440,Coline Bodenreider,39.6952641987,-78.7881778791,Picnic 9,4,Corriganville Ballfield,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,1,1,0,0,1,5, 
yes,441,Coline Bodenreider,39.5947933215,-78.8209118601,Picnic 10,4,Cresaptown Community Park,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,1,1,1,1,1,7, 
yes,451,Coline Bodenreider,39.5897118193,-78.8305577487,Picnic 11,5,Cresaptown Elementary,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,1,1,1,1,7, 
yes,493,Coline Bodenreider,39.7162045993,-78.7805585142,Picnic 15,11,Ellerslie Community Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,1,1,1,1,7, 
yes,529,Coline Bodenreider,39.5966194039,-78.8225980614,Picnic 12,22,Darrows Lane Recreation Complex,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,1,1,1,1,1,7,Has paintball
yes,569,Coline Bodenreider,39.6611972816,-78.7283301912,Fishing 4,95,Cumberland Country Club,Allegany,COUNTY,WESTERN,0,0,0,0,0,0,0,1,1,1,1,0,4, 
yes,585,Coline Bodenreider,39.6496480573,-78.7470027836,Natural Area 20,150,Constitution Park,Allegany,COUNTY,WESTERN,1,1,0,0,1,0,1,1,1,1,1,1,9, 
yes,639,Jameela Rogers,39.6495483470,-78.7646975160,Natural Area 7,0,George Washington Headquarters,Allegany,COUNTY,WESTERN,0,1,0,0,1,0,0,0,1,1,1,1,6,Historic Cabin mostly closed to the public
yes,647,Jameela Rogers,39.6899739213,-78.7909913581,Trail 219,0,Great Allegheny Passage,Allegany,COUNTY,WESTERN,1,1,0,0,0,0,0,0,1,1,1,1,6,150 mi bike path & connect w/ C&O canal
yes,689,Jameela Rogers,39.6510688173,-78.7668698239,Trail 14,0,Fort Cumberland Trail,Allegany,COUNTY,WESTERN,1,0,0,0,0,0,0,0,1,1,1,1,5,walking tour through historic cumberland
yes,713,Jameela Rogers,39.6575864309,-78.7702291797,Picnic 8,1,Centre Street Recreation Area,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,0,1,1,1,1,6, 
yes,727,Jameela Rogers,39.6648570923,-78.9360381797,Picnic 34,3,Frostburg West End Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,0,1,1,1,1,5, 
yes,739,Jameela Rogers,39.6692259430,-78.8124641749,Natural Area 5,4,Cash Valley Elementary,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,1,1,1,1,7, 
yes,766,Jameela Rogers,39.6567183131,-78.9391418012,Picnic 17,8,Frostburg Community Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,1,1,1,1,7, 
yes,767,Jameela Rogers,39.6477262078,-78.8167773199,Trail 18,8,Holly Avenue Recreation Area,Allegany,COUNTY,WESTERN,0,0,0,0,0,0,1,1,1,1,0,1,5, 
yes,773,Jameela Rogers,39.6426258945,-78.7483748375,Trail 15,10,Fort Hill High School,Allegany,COUNTY,WESTERN,1,0,0,0,0,0,0,1,1,1,1,1,6, 
yes,831,Jameela Rogers,39.6722804596,-78.9489205346,Hunting 1,28,Frostburg Mountainside Recreation,Allegany,COUNTY,WESTERN,0,1,1,0,0,0,0,0,,0,,1,3, 
yes,862,Jameela Rogers,39.6493228291,-78.9353266144,Trail 16,85,Frostburg State University,Allegany,COUNTY,WESTERN,1,1,0,0,0,0,0,1,1,1,1,1,7, 
yes,938,Jewel Aleshire,39.6530878126,-78.8069892917,Picnic 20,56,LaVale District Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,1,,1,0,1,4, 
yes,939,Jewel Aleshire,39.6388882527,-78.8247503808,Trail 19,8,LaVale Lions Field,Allegany,COUNTY,WESTERN,0,0,0,0,0,0,0,1,1,0,,1,3, 
yes,983,Jewel Aleshire,39.5659765839,-78.9803706209,Picnic 21,0.2,Lonaconing Downtown Parklet,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,0,1,1,0,1,4, 
yes,984,Jewel Aleshire,39.5699775500,-78.9777263475,Picnic 22,2,Lonaconing Furnace Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,0,1,1,0,1,5, 
yes,1046,Jewel Aleshire,39.6261453620,-78.7538636301,Fishing 5,3,Mason Recreation Complex,Allegany,COUNTY,WESTERN,1,1,0,1,1,0,1,1,1,1,,1,9,"Coordinates seem to be slighty off, has a BMX track"
yes,1095,Jewel Aleshire,39.5872909796,-78.9525373699,Natural Area 8,6,Midland Municipal Ballfield,Allegany,COUNTY,WESTERN,0,1,0,0,1,0,1,1,1,1,,1,7, 
yes,1115,Jewel Aleshire,39.6863886327,-78.8896839534,Picnic 24,5,Moss Cottage Ballfield,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,1,0,1,0,1,4, 
yes,1120,Jewel Aleshire,39.6547530289,-78.9167562711,Picnic 25,2,Mount Pleasant Recreation Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,1,1,0,1,6, 
yes,1121,Jewel Aleshire,39.6939987536,-78.8783537737,Picnic 26,3,Mount Savage Community Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,,1,1,1,6,Google maps takes you to Frostburg Community Park when googled
yes,1122,Jewel Aleshire,39.6977959183,-78.8820199766,Natural Area 9,3,Mount Savage Passive Recreation,Allegany,COUNTY,WESTERN,1,1,0,0,0,0,0,0,0,0,0,1,3, 
yes,1126,Jewel Aleshire,39.6501099608,-78.9137619685,Trail 4,15,Mountain Ridge High School,Allegany,COUNTY,WESTERN,1,0,0,0,0,0,0,1,1,1,1,1,6, 
yes,1149,Jewel Aleshire,39.6768698159,-78.7909709984,Natural Area 10,96,Narrows Scenic Park,Allegany,COUNTY,WESTERN,1,1,0,0,0,0,0,0,0,0,0,1,3, 
yes,1157,Jewel Aleshire,39.7160591099,-78.9251271625,Natural Area 11,184,Nature Conservancy #1 Finzel Sw,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,1158,Jewel Aleshire,39.7118154174,-78.3306925342,Natural Area 12,6,Nature Conservancy #2 Sideling,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2,Coordinates of this park come out to the same point as coordinates of park above
yes,1159,Jewel Aleshire,39.6754566987,-78.3440115217,Natural Area 13,23,Nature Conservancy #3 Sideling,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,1160,Jewel Aleshire,39.5425337581,-78.5955844312,Natural Area 14,16,Nature Conservancy #4 Oldtown,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,1161,Jewel Aleshire,39.5052218950,-78.9063247889,Natural Area 15,177,Nature Conservancy #5 Black Oak,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,1162,Jewel Aleshire,39.5266521524,-78.8887378864,Natural Area 16,3,Nature Conservancy #6 Rawlings,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,1163,Jewel Aleshire,39.4845276049,-78.9413538676,Natural Area 17,173,Nature Conservancy #7 Fort Hill,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,1164,Jewel Aleshire,39.6601388918,-78.5693159046,Fishing 6,85,Nature Conservancy #8 Town Creek,Allegany,COUNTY,WESTERN,0,1,0,1,0,0,0,0,0,0,0,1,3, 
yes,1268,Samuel Bara-Garcia,39.6717723407,-78.9332599165,Picnic 19,28,Paris Glendenning Recreation Complex,Allegany,COUNTY,WESTERN,1,1,0,0,1,0,1,1,1,1,,1,8, 
yes,1274,Samuel Bara-Garcia,39.6437798329,-78.8291453263,Picnic 28,12,Parkside Elementary,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,0,1,1,1,1,6, 
yes,1288,Samuel Bara-Garcia,39.5934526627,-78.4431420400,Fishing 106,0,Paw Paw,Allegany,COUNTY,WESTERN,1,1,0,1,1,0,0,0,0,0,0,1,5, 
yes,1348,Samuel Bara-Garcia,39.6150556327,-78.8139709274,Picnic 29,7,Potomac Park Ballfield,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,1,0,0,0,1,3, 
yes,1606,Jan-Michael Archer,39.6601200677,-78.7677069669,Natural Area 19,0,Valley Street Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,0,1,1,0,1,4, 
yes,1659,Jan-Michael Archer,39.6356660934,-78.7599392131,Picnic 30,1,Smith Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,0,1,1,0,1,4, 
yes,1661,Jan-Michael Archer,39.6357402467,-78.7639221183,Picnic 31,1,Springdale Street Playground,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,0,1,1,0,1,5, 
yes,1679,Jan-Michael Archer,39.4814107787,-79.0410958713,Picnic 39,2,Westernport Elementary,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,1,1,1,1,7, 
yes,1694,Jan-Michael Archer,39.6364521724,-78.7567838131,Trail 21,4,South Penn Elementary,Allegany,COUNTY,WESTERN,1,0,0,0,0,0,1,1,1,1,1,1,7, 
yes,1695,Jan-Michael Archer,39.6020658605,-78.7358412591,Picnic 32,4,St. Mary's Field,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,0,0,0,0,1,3, 
yes,1697,Jan-Michael Archer,39.6377831472,-78.8518886903,Picnic 33,4,Toll Gate House,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,0,0,1,1,1,4, 
yes,1698,Jan-Michael Archer,39.4903662203,-79.0433961898,Picnic 35,4,Westernport Creekside Park,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,0,1,0,0,1,4,Grassy Patch between highways
yes,1703,Jan-Michael Archer,39.4805710203,-79.0430529920,Picnic 36,5,Westernport Municipal Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,0,,0,1,4, 
yes,1704,Jan-Michael Archer,39.4839337211,-79.0360172940,Trail 24,5,Westmar Middle School,Allegany,COUNTY,WESTERN,1,0,0,0,0,0,0,1,0,0,0,,2, 
yes,1751,Jan-Michael Archer,39.7067269660,-78.5689663594,Picnic 16,14,Flintstone Community Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,1,1,0,1,0,1,5, 
yes,608,Coline Bodenreider,38.8181791796,-76.5092075034,Natural Area 994,484,FRANKLIN POINT SP,Anne Arundel,SP,SOUTHERN,0,1,0,0,0,0,0,0,0,,,1,2,
yes,888,Jameela Rogers,38.7553070262,-76.6929092313,Natural Area 1035,248,HOUSE CREEK NRMA,Anne Arundel,NRMA,SOUTHERN,0,1,0,0,0,0,0,0,0,0,,1,2, 
yes,995,Jewel Aleshire,39.1281514261,-76.5737016949,Natural Area 1111,5,LONGHILL FT,Anne Arundel,FT,SOUTHERN,0,1,0,0,0,0,0,0,0,0,,1,2, 
yes,1185,Jewel Aleshire,39.0913997589,-76.6376543832,Natural Area 1048,0,SEVERN RUN NEA,Anne Arundel,NEA,SOUTHERN,1,1,0,0,0,0,0,0,0,0,,1,3, 
yes,1279,Samuel Bara-Garcia,39.1129632443,-76.8111604092,Natural Area 1085,50,PATUXENT OXBOW HCF,Anne Arundel,HCF,SOUTHERN,1,1,0,0,0,1,0,0,0,0,,1,4, 
yes,1366,Samuel Bara-Garcia,38.9958241010,-76.7094241427,Natural Area 1041,38,PRIDE FINANCE NRMA,Anne Arundel,NRMA,SOUTHERN,0,1,0,0,0,0,0,0,0,0,,1,2, 
yes,1472,Samuel Bara-Garcia,39.0232011293,-76.4081968293,Fishing 334,786,SANDY POINT SP,Anne Arundel,SP,SOUTHERN,1,1,0,1,1,1,1,1,,1,,0,8, 
yes,1491,Samuel Bara-Garcia,38.9953932071,-76.4846481902,Natural Area 1013,0,JONAS GREEN SP,Anne Arundel,SP,SOUTHERN,0,1,0,0,0,0,0,0,,1,,1,3, 
yes,6,Menna Kassa,39.1976962270,-76.6676333133,Picnic 288,0,Andover Park,Anne Arundel,COUNTY,SOUTHERN,1,0,0,0,1,0,1,1,,1,1,1,7, 
yes,9,Menna Kassa,39.0631045259,-76.5905863414,Picnic 264,0,Arden Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,0,1,,1,,1,4, 
yes,10,Menna Kassa,39.0366311733,-76.4901925342,Picnic 300,0,Arnold Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,1,1,,1,,1,5, 
yes,11,Menna Kassa,38.9742257430,-76.5625819214,Water Recreation 253,0,Arundel Olympic Swim Center,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,0,1,0,0,1,1,1,0,4, 
yes,12,Menna Kassa,39.1084048146,-76.5769477256,Natural Area 395,0,B & A Trail,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,1,0,0,0,,1,1,1,6, 
yes,13,Menna Kassa,39.1988888641,-76.5916838259,Picnic 273,0,Bachmans Sports Complex,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,1,1,,1,,1,5, 
yes,14,Menna Kassa,39.0196706461,-76.6214178474,Natural Area 378,0,Bacon Ridge Natural Area,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,0,0,0,0,0,,,1,3, 
yes,15,Menna Kassa,39.1081074655,-76.8167049270,Trail 276,0,Bacontown Park,Anne Arundel,COUNTY,SOUTHERN,1,0,0,0,0,0,1,1,,1,,1,5, 
yes,18,Menna Kassa,39.0271223761,-76.4289945188,Picnic 266,0,Bay Head Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,1,1,,1,1,1,6, 
yes,22,Menna Kassa,39.1073644248,-76.5327702828,Fishing 129,0,Beachwood Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,1,0,1,0,0,0,1,1,1,7, 
yes,24,Menna Kassa,38.9880766214,-76.6733367012,Natural Area 363,0,Bell Branch Athletic complex,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,1,0,1,1,,1,1,1,7, 
yes,28,Menna Kassa,38.9967126007,-76.5306700201,Picnic 268,0,Bestgate Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,1,1,,1,,1,5, 
yes,31,Menna Kassa,38.8837727856,-76.5006460394,Fishing 124,0,Beverly Triton Beach Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,1,0,1,0,0,0,1,1,1,7, 
yes,35,Menna Kassa,39.1154899149,-76.4773866169,Natural Area 349,0,Bodkin Park,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,1,0,1,1,,1,0,1,6, 
yes,38,Menna Kassa,38.9781934722,-76.5676463770,Natural Area 336,0,Broad Creek Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,0,0,0,0,0,,,1,3, 
yes,40,Menna Kassa,39.0339803549,-76.4526266563,Natural Area 359,0,Broadneck Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,1,0,1,1,,1,1,1,8, 
yes,41,Menna Kassa,39.0318119968,-76.4467743132,Trail 286,0,Broadneck Trail -Decker,Anne Arundel,COUNTY,SOUTHERN,1,0,0,0,0,0,0,0,,,,1,2, 
yes,42,Menna Kassa,39.2209983151,-76.6107584191,Trail 231,0,Brooklyn Heights Park,Anne Arundel,COUNTY,SOUTHERN,1,0,0,0,0,0,1,1,,,,1,4, 
yes,43,Menna Kassa,39.2267899558,-76.6190069716,Picnic 280,0,Brooklyn Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,0,1,,1,1,1,5, 
yes,44,Menna Kassa,39.0056028791,-76.4706738637,Picnic 267,0,Browns Woods Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,1,1,,,1,1,5, 
yes,49,Menna Kassa,39.1971459788,-76.6474997853,Natural Area 352,0,Cabin Branch Park,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,0,0,0,0,0,,,1,2, 
yes,54,Menna Kassa,39.0676532465,-76.6905423814,Natural Area 360,0,Odenton Natural Area,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,0,0,0,1,,,,1,4, 
yes,55,Menna Kassa,39.0516708376,-76.7024356992,Picnic 302,0,Odenton Park (GORC),Anne Arundel,COUNTY,SOUTHERN,1,0,0,0,1,0,1,1,1,1,1,1,8, 
yes,57,Menna Kassa,38.8474120473,-76.4986155364,Fishing 115,0,Shady Cove Natural Area,Anne Arundel,COUNTY,SOUTHERN,1,1,0,1,0,0,0,0,0,,,1,4, 
yes,58,Menna Kassa,38.8444743950,-76.5102633259,Fishing 109,0,Shady Side Wharf,Anne Arundel,COUNTY,SOUTHERN,0,0,0,1,0,0,0,0,,,,1,2, 
yes,59,Menna Kassa,38.8459924097,-76.5159037852,Natural Area 338,0,Shadyside Park,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,0,1,1,1,,1,1,1,7, 
yes,64,Menna Kassa,39.0995910114,-76.6108337544,Natural Area 333,0,Shipleys Choice Park,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,0,0,0,1,,1,1,0,4, 
yes,325,Coline Bodenreider,39.0814207559,-76.5582340280,Natural Area 379,0,Cool Pond Park,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,0,0,0,1,,,,1,3, 
yes,330,Coline Bodenreider,38.9992406938,-76.6845513268,Natural Area 362,0,Swann Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,0,0,1,1,,1,1,1,7, 
yes,331,Coline Bodenreider,39.0019128689,-76.6713158264,Natural Area 343,0,Crofton Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,0,1,0,1,1,,1,1,1,8, 
yes,332,Coline Bodenreider,39.2253351913,-76.6052267050,Picnic 279,0,Cross Street Park,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,1,1,,1,,1,5, 
yes,333,Coline Bodenreider,39.0702043031,-76.5411998134,Natural Area 357,0,Cypress Creek Park,Anne Arundel,COUNTY,SOUTHERN,0,1,0,0,1,0,0,1,,1,1,1,6, 
yes,336,Coline Bodenreider,38.9033928728,-76.6525195388,Picnic 306,0,Davidsonville Family Rec Center,Anne Arundel,COUNTY,SOUTHERN,0,0,0,0,1,0,0,0,,1,1,1,4, 
yes,337,Coline Bodenreider,38.9359048772,-76.6803604795,Fishing 120,0,Davidsonville Park,Anne Arundel,COUNTY,SOUTHERN,1,1,0,1,1,1,0,1,,1,1,1,9, 
